league,name,href,value
Virsliga,FK Metta,https://www.transfermarkt.com/fk-metta/kader/verein/28770/saison_id/2023,2540000
Virsliga,BFC Daugavpils,https://www.transfermarkt.com/bfc-daugavpils/kader/verein/28931/saison_id/2023,2360000
Virsliga,Grobinas SC/LFS,https://www.transfermarkt.com/grobinas-sc-lfs/kader/verein/40880/saison_id/2023,2150000
Virsliga,FK Tukums 2000,https://www.transfermarkt.com/fk-tukums-2000/kader/verein/28937/saison_id/2023,2130000
Virsliga,FS Jelgava,https://www.transfermarkt.com/fs-jelgava/kader/verein/27118/saison_id/2023,1980000
Premyer Liqa,Qarabağ FK,https://www.transfermarkt.com/qarabag-fk/kader/verein/10625/saison_id/2024,20230000
Premyer Liqa,Neftchi PFK,https://www.transfermarkt.com/neftchi-pfk/kader/verein/8031/saison_id/2024,12030000
Premyer Liqa,Sabah FK,https://www.transfermarkt.com/sabah-fk/kader/verein/63993/saison_id/2024,11750000
Premyer Liqa,Zira FC,https://www.transfermarkt.com/zira-fc/kader/verein/46710/saison_id/2024,11580000
Premyer Liqa,Sumgayit PFC,https://www.transfermarkt.com/sumgayit-pfc/kader/verein/36999/saison_id/2024,10680000
Premyer Liqa,Turan-Tovuz IK,https://www.transfermarkt.com/turan-tovuz-ik/kader/verein/9526/saison_id/2024,5600000
Premyer Liqa,Araz-Nakhchivan,https://www.transfermarkt.com/araz-nakhchivan/kader/verein/44360/saison_id/2024,5530000
Premyer Liqa,Kapaz PFK,https://www.transfermarkt.com/kapaz-pfk/kader/verein/7090/saison_id/2024,5480000
Premyer Liqa,FK Sabail,https://www.transfermarkt.com/fk-sabail/kader/verein/57890/saison_id/2024,4200000
Premyer Liqa,FC Shamakhi,https://www.transfermarkt.com/fc-shamakhi/kader/verein/8956/saison_id/2024,3030000
Premier League Opening Round,Floriana FC,https://www.transfermarkt.com/floriana-fc/kader/verein/10603/saison_id/2024,4420000
Premier League Opening Round,Hamrun Spartans,https://www.transfermarkt.com/hamrun-spartans/kader/verein/17149/saison_id/2024,4010000
Premier League Opening Round,Birkirkara FC,https://www.transfermarkt.com/birkirkara-fc/kader/verein/10262/saison_id/2024,4010000
Premier League Opening Round,Sliema Wanderers,https://www.transfermarkt.com/sliema-wanderers/kader/verein/329/saison_id/2024,3880000
Premier League Opening Round,Gzira United FC,https://www.transfermarkt.com/gzira-united-fc/kader/verein/32768/saison_id/2024,3750000
Premier League Opening Round,Marsaxlokk FC,https://www.transfermarkt.com/marsaxlokk-fc/kader/verein/10605/saison_id/2024,3490000
